Athlete_ID,Day,Day_of_Week,Week,Age,Gender,Sport_Type,Training_Type,Training_Duration_Min,Training_Intensity,Sleep_Duration_Hours,Caffeine_Intake_mg,Stress_Level,Resting_Heart_Rate,HRV_ms,Mood_Score,Muscle_Soreness,Energy_Level,Recovery_Score
1050,21,7,3,27.0,Male,Team Sport,Rest,10,1.8,8.9,208,High,60,81,5.9,2.5,4.6,72.2
1050,22,1,4,27.0,Male,Team Sport,Strength,63,5.3,7.4,164,Low,57,79,5.8,3.2,7.2,74.9
1050,23,2,4,27.0,Male,Team Sport,Cardio,58,3.6,8.3,0,Medium,59,77,6.1,3.6,4.5,66.7
1050,24,3,4,27.0,Male,Team Sport,HIIT,44,8.6,7.6,225,High,59,63,2.3,6.9,1.4,27.4
1050,25,4,4,,Male,Team Sport,HIIT,40,6.5,8.2,256,Medium,60,77,6.0,5.9,3.0,73.7
1050,26,5,4,27.0,Male,Team Sport,Strength,58,7.8,7.8,180,Low,60,77,6.6,8.9,3.3,52.4
1050,27,6,4,27.0,Male,Team Sport,Yoga,68,3.1,7.6,0,High,62,72,5.6,2.8,2.5,51.8
1050,28,7,4,27.0,Male,Team Sport,Rest,10,1.4,6.8,249,High,61,66,4.0,1.7,1.4,20.1
1051,1,1,1,29.0,Male,Team Sport,HIIT,35,8.4,7.9,283,Medium,57,93,5.3,5.3,5.0,100.0
1051,2,2,1,29.0,Male,Team Sport,HIIT,28,10.0,6.8,0,Medium,57,75,5.4,8.4,6.0,30.9
